Customer ID,Frequency,Monetary,UniqueProducts,TotalQuantity,Recency,Tenure,AvgOrderValue,AvgDaysBetweenOrders,AvgBasketSize,RecencyRatio,Churn
12346,12,77556.46,27,74285,235,635,6463.038333333334,52.916666666666664,6190.416666666667,0.3700787401574803,1
12347,6,4114.18,107,2418,39,313,685.6966666666667,52.166666666666664,403.0,0.12460063897763578,0
12348,4,1709.3999999999999,25,2497,158,347,427.34999999999997,86.75,624.25,0.4553314121037464,0
12349,3,2671.14,90,993,317,498,890.38,166.0,331.0,0.6365461847389559,0
12350,1,334.40000000000003,17,197,219,219,334.40000000000003,219.0,197.0,1.0,1
12351,1,300.93,21,261,284,284,300.93,284.0,261.0,1.0,1
12352,7,1905.6100000000001,38,442,171,302,272.23,43.142857142857146,63.142857142857146,0.5662251655629139,0
12353,2,406.76,23,212,113,318,203.38,159.0,106.0,0.3553459119496855,1
12354,1,1079.4,58,530,141,141,1079.4,141.0,530.0,1.0,1
12355,2,947.61,35,543,123,477,473.805,238.5,271.5,0.2578616352201258,1
12356,5,6315.33,104,3412,155,334,1263.066,66.8,682.4,0.46407185628742514,0
12357,2,12079.99,165,3879,297,298,6039.995,149.0,1939.5,0.9966442953020134,0
12358,4,3203.8700000000003,56,931,60,641,800.9675000000001,160.25,232.75,0.093603744149766,0
12359,9,6059.09,230,2095,99,643,673.2322222222223,71.44444444444444,232.77777777777777,0.15396578538102643,0
12360,7,3209.11,123,1968,22,565,458.44428571428574,80.71428571428571,281.14285714285717,0.03893805309734513,0
12361,4,511.25,18,235,196,591,127.8125,147.75,58.75,0.3316412859560068,1
12362,5,1877.3500000000001,89,989,29,648,375.47,129.6,197.8,0.044753086419753084,0
12363,2,552.0,23,408,19,151,276.0,75.5,204.0,0.12582781456953643,1
12364,1,623.92,34,555,21,21,623.92,21.0,555.0,1.0,0
12365,2,641.38,22,174,200,200,320.69,100.0,87.0,1.0,1
12366,1,500.24,3,296,543,543,500.24,543.0,296.0,1.0,1
12368,1,917.7,18,330,537,537,917.7,537.0,330.0,1.0,1
12369,3,1791.15,90,1241,322,551,597.0500000000001,183.66666666666666,413.6666666666667,0.5843920145190563,1
12370,6,3581.03,150,2225,184,578,596.8383333333334,96.33333333333333,370.8333333333333,0.31833910034602075,0
12371,3,2179.42,91,845,318,554,726.4733333333334,184.66666666666666,281.6666666666667,0.5740072202166066,0
12372,2,914.9200000000001,32,592,122,206,457.46000000000004,103.0,296.0,0.5922330097087378,0
12373,3,1127.65,36,516,220,583,375.8833333333334,194.33333333333334,172.0,0.37735849056603776,1
12374,3,2246.29,47,1020,330,497,748.7633333333333,165.66666666666666,340.0,0.6639839034205232,0
12375,1,230.3,11,87,7,7,230.3,7.0,87.0,1.0,0
12376,2,503.15,11,240,299,327,251.575,163.5,120.0,0.9143730886850153,1
12377,4,3426.32,129,2105,224,498,856.58,124.5,526.25,0.4497991967871486,1
12378,2,5416.32,281,3316,39,471,2708.16,235.5,1658.0,0.08280254777070063,1
12379,3,1227.82,50,619,79,444,409.2733333333333,148.0,206.33333333333334,0.17792792792792791,0
12380,8,7559.04,125,2521,95,572,944.88,71.5,315.125,0.1660839160839161,0
12381,1,1268.74,62,568,29,29,1268.74,29.0,568.0,1.0,0
12383,5,1850.56,84,1532,94,261,370.11199999999997,52.2,306.4,0.36015325670498083,1
12384,1,292.69,14,62,31,31,292.69,31.0,62.0,1.0,0
12385,1,1938.4,65,612,288,288,1938.4,288.0,612.0,1.0,1
12386,2,660.8000000000001,10,568,247,276,330.40000000000003,138.0,284.0,0.894927536231884,1
12387,1,143.94,9,134,324,324,143.94,324.0,134.0,1.0,1
12388,6,2788.79,77,1299,57,491,464.79833333333335,81.83333333333333,216.5,0.11608961303462322,0
12389,3,1433.33,41,614,312,565,477.77666666666664,188.33333333333334,204.66666666666666,0.552212389380531,1
12391,5,2312.53,159,920,374,572,462.50600000000003,114.4,184.0,0.6538461538461539,0
12392,1,234.75000000000003,7,73,500,500,234.75000000000003,500.0,73.0,1.0,1
12393,5,1877.95,53,1017,155,337,375.59000000000003,67.4,203.4,0.4599406528189911,0
12394,1,381.08,21,182,126,126,381.08,126.0,182.0,1.0,0
12395,11,3948.21,122,3244,21,512,358.9281818181818,46.54545454545455,294.90909090909093,0.041015625,0
12396,1,931.4300000000001,65,591,583,583,931.4300000000001,583.0,591.0,1.0,1
12397,1,1214.81,70,704,44,44,1214.81,44.0,704.0,1.0,0
12399,7,1962.3,67,2198,28,554,280.3285714285714,79.14285714285714,314.0,0.05054151624548736,1
12400,1,205.25,11,91,323,323,205.25,323.0,91.0,1.0,1
12401,1,84.3,5,11,212,212,84.3,212.0,11.0,1.0,1
12402,6,1256.9,43,584,232,580,209.48333333333335,96.66666666666667,97.33333333333333,0.4,1
12403,1,591.6600000000001,4,164,431,431,591.6600000000001,431.0,164.0,1.0,0
12404,1,63.24,1,1,591,591,63.24,591.0,1.0,1.0,1
12405,1,1710.39,54,857,58,58,1710.39,58.0,857.0,1.0,1
12406,4,4596.31,81,2391,93,606,1149.0775,151.5,597.75,0.15346534653465346,0
12407,4,1407.36,50,1237,43,173,351.84,43.25,309.25,0.24855491329479767,0
12408,7,3586.27,90,1864,8,407,512.3242857142857,58.142857142857146,266.2857142857143,0.019656019656019656,0
12409,5,18553.7,165,10734,92,474,3710.7400000000002,94.8,2146.8,0.1940928270042194,0
12410,3,1013.71,36,341,218,411,337.90333333333336,137.0,113.66666666666667,0.5304136253041363,1
12411,1,346.9,22,138,319,319,346.9,319.0,138.0,1.0,1
12412,5,2260.79,74,1767,47,448,452.158,89.6,353.4,0.10491071428571429,0
12413,3,805.25,37,238,145,311,268.4166666666667,103.66666666666667,79.33333333333333,0.4662379421221865,0
12414,6,952.4100000000001,21,495,126,373,158.735,62.166666666666664,82.5,0.3378016085790885,1
12415,22,121631.72,438,80774,8,437,5528.714545454545,19.863636363636363,3671.5454545454545,0.018306636155606407,0
12416,1,202.56,11,132,566,566,202.56,566.0,132.0,1.0,1
12417,18,5984.33,252,2567,16,643,332.4627777777778,35.72222222222222,142.61111111111111,0.024883359253499222,0
12418,4,2021.2,90,1088,22,539,505.3,134.75,272.0,0.04081632653061224,1
12419,2,503.01,23,231,295,323,251.505,161.5,115.5,0.913312693498452,1
12421,5,920.12,38,575,24,414,184.024,82.8,115.0,0.057971014492753624,0
12422,17,5231.8,137,2596,5,631,307.7529411764706,37.11764705882353,152.7058823529412,0.00792393026941363,1
12423,9,2413.75,119,1590,10,375,268.19444444444446,41.666666666666664,176.66666666666666,0.02666666666666667,0
12424,4,3340.0299999999997,78,2025,72,457,835.0074999999999,114.25,506.25,0.1575492341356674,1
12425,1,964.21,55,651,357,357,964.21,357.0,651.0,1.0,0
12426,2,1345.21,73,584,104,572,672.605,286.0,292.0,0.18181818181818182,1
12427,1,607.0,10,158,281,281,607.0,281.0,158.0,1.0,0
12428,8,7548.12,252,3386,29,193,943.515,24.125,423.25,0.15025906735751296,0
12429,7,6580.39,107,2832,82,455,940.0557142857143,65.0,404.57142857142856,0.18021978021978022,0
12431,23,9245.09,220,3919,28,603,401.96043478260873,26.217391304347824,170.3913043478261,0.04643449419568822,0
12432,3,4016.66,75,1427,79,81,1338.8866666666665,27.0,475.6666666666667,0.9753086419753086,0
12433,6,13600.62,227,11476,0,386,2266.77,64.33333333333333,1912.6666666666667,0.0,0
12434,2,583.54,34,215,169,290,291.77,145.0,107.5,0.5827586206896552,0
12435,5,10075.03,81,3782,177,646,2015.006,129.2,756.4,0.2739938080495356,0
12436,1,509.01,16,211,9,9,509.01,9.0,211.0,1.0,1
12437,32,10543.4,230,6875,7,646,329.48125,20.1875,214.84375,0.010835913312693499,0
12438,1,890.0699999999999,49,586,49,49,890.0699999999999,49.0,586.0,1.0,0
12439,2,1158.18,69,484,592,635,579.09,317.5,242.0,0.9322834645669291,1
12440,2,859.2,21,331,371,627,429.6,313.5,165.5,0.5917065390749602,1
12441,1,347.1,11,242,276,276,347.1,276.0,242.0,1.0,1
12443,1,485.31,21,182,641,641,485.31,641.0,182.0,1.0,1
12444,2,2627.27,96,650,31,80,1313.635,40.0,325.0,0.3875,0
12445,1,301.58000000000004,20,144,330,330,301.58000000000004,330.0,144.0,1.0,0
12447,1,476.49,26,190,152,152,476.49,152.0,190.0,1.0,1
12449,5,3493.18,93,1758,1,348,698.636,69.6,351.6,0.0028735632183908046,0
12450,5,688.2,31,442,65,383,137.64000000000001,76.6,88.4,0.16971279373368145,1
12451,5,8942.18,259,6889,127,438,1788.4360000000001,87.6,1377.8,0.2899543378995434,0
12453,1,707.09,43,473,43,43,707.09,43.0,473.0,1.0,1
12454,4,13151.44,9,6697,305,330,3287.86,82.5,1674.25,0.9242424242424242,0
12455,9,5589.45,181,2979,37,631,621.05,70.11111111111111,331.0,0.058637083993660855,0
12456,2,2265.4,77,1073,40,164,1132.7,82.0,536.5,0.24390243902439024,0
12457,4,1699.93,37,648,143,344,424.9825,86.0,162.0,0.41569767441860467,0
12458,3,1272.01,58,750,194,397,424.00333333333333,132.33333333333334,250.0,0.48866498740554154,0
12459,1,454.36,23,258,514,514,454.36,514.0,258.0,1.0,1
12460,1,326.65,18,170,365,365,326.65,365.0,170.0,1.0,1
12461,2,826.88,35,287,3,64,413.44,32.0,143.5,0.046875,1
12462,1,762.11,40,287,212,212,762.11,212.0,287.0,1.0,0
12463,3,985.7900000000001,51,577,84,151,328.5966666666667,50.333333333333336,192.33333333333334,0.5562913907284768,0
12464,6,780.55,6,81,15,218,130.09166666666667,36.333333333333336,13.5,0.06880733944954129,0
12465,1,440.94,26,294,78,78,440.94,78.0,294.0,1.0,0
12466,1,56.73,1,1,591,591,56.73,591.0,1.0,1.0,1
12467,1,132.8,9,129,332,332,132.8,332.0,129.0,1.0,1
12468,5,3670.7400000000002,127,2201,97,592,734.148,118.4,440.2,0.16385135135135134,1
12469,2,3070.54,76,2552,432,446,1535.27,223.0,1276.0,0.968609865470852,1
12470,1,211.95,23,95,599,599,211.95,599.0,95.0,1.0,1
12471,68,31256.14,213,13022,16,642,459.6491176470588,9.441176470588236,191.5,0.024922118380062305,0
12472,17,16236.08,367,10290,48,635,955.0635294117646,37.35294117647059,605.2941176470588,0.07559055118110236,0
12473,2,1186.25,60,878,24,101,593.125,50.5,439.0,0.2376237623762376,0
12474,26,9410.72,285,5905,8,576,361.9507692307692,22.153846153846153,227.1153846153846,0.013888888888888888,0
12475,1,426.26,25,236,319,319,426.26,319.0,236.0,1.0,0
12476,18,10490.66,292,4369,50,411,582.8144444444445,22.833333333333332,242.72222222222223,0.12165450121654502,0
12477,6,15890.66,276,4984,10,532,2648.443333333333,88.66666666666667,830.6666666666666,0.018796992481203006,0
12480,6,4328.17,146,2341,52,416,721.3616666666667,69.33333333333333,390.1666666666667,0.125,0
12481,13,10866.83,213,6310,89,516,835.91,39.69230769230769,485.38461538461536,0.17248062015503876,0
12482,29,23691.4,42,27042,485,563,816.944827586207,19.413793103448278,932.4827586206897,0.8614564831261101,1
12483,17,4259.66,60,1854,8,586,250.56823529411764,34.470588235294116,109.05882352941177,0.013651877133105802,0
12484,10,5491.58,296,2939,10,590,549.158,59.0,293.9,0.01694915254237288,0
12485,1,708.1,34,414,438,438,708.1,438.0,414.0,1.0,1
12486,1,1037.28,49,523,341,341,1037.28,341.0,523.0,1.0,1
12487,1,285.3,2,174,640,640,285.3,640.0,174.0,1.0,1
12489,1,334.93,15,105,245,245,334.93,245.0,105.0,1.0,1
12490,17,7958.3,171,4852,2,647,468.13529411764705,38.05882352941177,285.4117647058824,0.0030911901081916537,0
12492,2,578.39,30,321,14,312,289.195,156.0,160.5,0.04487179487179487,0
12493,2,433.74,20,207,75,106,216.87,53.0,103.5,0.7075471698113207,1
12494,7,1495.63,62,645,71,485,213.6614285714286,69.28571428571429,92.14285714285714,0.1463917525773196,0
12495,1,357.4,17,130,550,550,357.4,550.0,130.0,1.0,1
12496,2,54.09,10,33,529,529,27.045,264.5,16.5,1.0,1
12497,2,5205.400000000001,30,4449,310,554,2602.7000000000003,277.0,2224.5,0.5595667870036101,0
12499,1,393.72,27,302,469,469,393.72,469.0,302.0,1.0,1
12500,14,3471.23,75,1969,16,582,247.945,41.57142857142857,140.64285714285714,0.027491408934707903,0
12501,1,2169.39,149,1783,246,246,2169.39,246.0,1783.0,1.0,1
12502,5,3723.87,102,820,5,219,744.774,43.8,164.0,0.0228310502283105,1
12503,1,1126.0,2,561,493,493,1126.0,493.0,561.0,1.0,1
12504,2,297.0,8,368,326,506,148.5,253.0,184.0,0.6442687747035574,0
12505,1,955.2,42,324,318,318,955.2,318.0,324.0,1.0,1
12506,1,73.5,23,23,142,142,73.5,142.0,23.0,1.0,1
12507,4,1844.06,46,1256,43,494,461.015,123.5,314.0,0.08704453441295547,1
12509,1,176.5,7,55,193,193,176.5,193.0,55.0,1.0,1
12510,9,5178.02,94,2049,52,644,575.3355555555556,71.55555555555556,227.66666666666666,0.08074534161490683,1
12511,1,3084.02,190,1753,338,338,3084.02,338.0,1753.0,1.0,1
12513,1,612.29,35,462,22,22,612.29,22.0,462.0,1.0,1
12514,2,1597.76,76,840,176,551,798.88,275.5,420.0,0.3194192377495463,1
12515,1,383.7,16,131,262,262,383.7,262.0,131.0,1.0,1
12516,3,1919.76,42,1422,90,508,639.92,169.33333333333334,474.0,0.17716535433070865,0
12517,2,1538.7,173,841,35,99,769.35,49.5,420.5,0.35353535353535354,0
12518,1,324.83,18,187,19,19,324.83,19.0,187.0,1.0,0
12519,1,385.70000000000005,22,212,386,386,385.70000000000005,386.0,212.0,1.0,0
12520,4,2045.85,104,1099,51,183,511.4625,45.75,274.75,0.2786885245901639,0
12521,1,599.68,38,309,52,52,599.68,52.0,309.0,1.0,1
12523,19,3600.13,144,1970,17,641,189.4805263157895,33.73684210526316,103.6842105263158,0.0265210608424337,0
12524,15,9762.87,138,5769,71,578,650.8580000000001,38.53333333333333,384.6,0.12283737024221453,0
12525,3,973.73,56,509,407,556,324.57666666666665,185.33333333333334,169.66666666666666,0.7320143884892086,1
